"Step","fold5_CISUNet_DiceCE - val-Aorta","fold5_CISUNet_DiceCE - val-Aorta__MIN","fold5_CISUNet_DiceCE - val-Aorta__MAX","fold5_CISUNet_DiceCE - val-IMA","fold5_CISUNet_DiceCE - val-IMA__MIN","fold5_CISUNet_DiceCE - val-IMA__MAX","fold5_CISUNet_DiceCE - val-l_CIA","fold5_CISUNet_DiceCE - val-l_CIA__MIN","fold5_CISUNet_DiceCE - val-l_CIA__MAX","fold5_CISUNet_DiceCE - val-l_EIA","fold5_CISUNet_DiceCE - val-l_EIA__MIN","fold5_CISUNet_DiceCE - val-l_EIA__MAX","fold5_CISUNet_DiceCE - val-l_IIA","fold5_CISUNet_DiceCE - val-l_IIA__MIN","fold5_CISUNet_DiceCE - val-l_IIA__MAX","fold5_CISUNet_DiceCE - val-r_CIA","fold5_CISUNet_DiceCE - val-r_CIA__MIN","fold5_CISUNet_DiceCE - val-r_CIA__MAX","fold5_CISUNet_DiceCE - val-r_EIA","fold5_CISUNet_DiceCE - val-r_EIA__MIN","fold5_CISUNet_DiceCE - val-r_EIA__MAX","fold5_CISUNet_DiceCE - val-r_IIA","fold5_CISUNet_DiceCE - val-r_IIA__MIN","fold5_CISUNet_DiceCE - val-r_IIA__MAX","fold4_CISUNet_DiceCE - val-Aorta","fold4_CISUNet_DiceCE - val-Aorta__MIN","fold4_CISUNet_DiceCE - val-Aorta__MAX","fold4_CISUNet_DiceCE - val-IMA","fold4_CISUNet_DiceCE - val-IMA__MIN","fold4_CISUNet_DiceCE - val-IMA__MAX","fold4_CISUNet_DiceCE - val-l_CIA","fold4_CISUNet_DiceCE - val-l_CIA__MIN","fold4_CISUNet_DiceCE - val-l_CIA__MAX","fold4_CISUNet_DiceCE - val-l_EIA","fold4_CISUNet_DiceCE - val-l_EIA__MIN","fold4_CISUNet_DiceCE - val-l_EIA__MAX","fold4_CISUNet_DiceCE - val-l_IIA","fold4_CISUNet_DiceCE - val-l_IIA__MIN","fold4_CISUNet_DiceCE - val-l_IIA__MAX","fold4_CISUNet_DiceCE - val-r_CIA","fold4_CISUNet_DiceCE - val-r_CIA__MIN","fold4_CISUNet_DiceCE - val-r_CIA__MAX","fold4_CISUNet_DiceCE - val-r_EIA","fold4_CISUNet_DiceCE - val-r_EIA__MIN","fold4_CISUNet_DiceCE - val-r_EIA__MAX","fold4_CISUNet_DiceCE - val-r_IIA","fold4_CISUNet_DiceCE - val-r_IIA__MIN","fold4_CISUNet_DiceCE - val-r_IIA__MAX","fold3_CISUNet_DiceCE - val-Aorta","fold3_CISUNet_DiceCE - val-Aorta__MIN","fold3_CISUNet_DiceCE - val-Aorta__MAX","fold3_CISUNet_DiceCE - val-IMA","fold3_CISUNet_DiceCE - val-IMA__MIN","fold3_CISUNet_DiceCE - val-IMA__MAX","fold3_CISUNet_DiceCE - val-l_CIA","fold3_CISUNet_DiceCE - val-l_CIA__MIN","fold3_CISUNet_DiceCE - val-l_CIA__MAX","fold3_CISUNet_DiceCE - val-l_EIA","fold3_CISUNet_DiceCE - val-l_EIA__MIN","fold3_CISUNet_DiceCE - val-l_EIA__MAX","fold3_CISUNet_DiceCE - val-l_IIA","fold3_CISUNet_DiceCE - val-l_IIA__MIN","fold3_CISUNet_DiceCE - val-l_IIA__MAX","fold3_CISUNet_DiceCE - val-r_CIA","fold3_CISUNet_DiceCE - val-r_CIA__MIN","fold3_CISUNet_DiceCE - val-r_CIA__MAX","fold3_CISUNet_DiceCE - val-r_EIA","fold3_CISUNet_DiceCE - val-r_EIA__MIN","fold3_CISUNet_DiceCE - val-r_EIA__MAX","fold3_CISUNet_DiceCE - val-r_IIA","fold3_CISUNet_DiceCE - val-r_IIA__MIN","fold3_CISUNet_DiceCE - val-r_IIA__MAX","fold2_CISUNet_DiceCE - val-Aorta","fold2_CISUNet_DiceCE - val-Aorta__MIN","fold2_CISUNet_DiceCE - val-Aorta__MAX","fold2_CISUNet_DiceCE - val-IMA","fold2_CISUNet_DiceCE - val-IMA__MIN","fold2_CISUNet_DiceCE - val-IMA__MAX","fold2_CISUNet_DiceCE - val-l_CIA","fold2_CISUNet_DiceCE - val-l_CIA__MIN","fold2_CISUNet_DiceCE - val-l_CIA__MAX","fold2_CISUNet_DiceCE - val-l_EIA","fold2_CISUNet_DiceCE - val-l_EIA__MIN","fold2_CISUNet_DiceCE - val-l_EIA__MAX","fold2_CISUNet_DiceCE - val-l_IIA","fold2_CISUNet_DiceCE - val-l_IIA__MIN","fold2_CISUNet_DiceCE - val-l_IIA__MAX","fold2_CISUNet_DiceCE - val-r_CIA","fold2_CISUNet_DiceCE - val-r_CIA__MIN","fold2_CISUNet_DiceCE - val-r_CIA__MAX","fold2_CISUNet_DiceCE - val-r_EIA","fold2_CISUNet_DiceCE - val-r_EIA__MIN","fold2_CISUNet_DiceCE - val-r_EIA__MAX","fold2_CISUNet_DiceCE - val-r_IIA","fold2_CISUNet_DiceCE - val-r_IIA__MIN","fold2_CISUNet_DiceCE - val-r_IIA__MAX","fold1_CISUNet_DiceCE - val-Aorta","fold1_CISUNet_DiceCE - val-Aorta__MIN","fold1_CISUNet_DiceCE - val-Aorta__MAX","fold1_CISUNet_DiceCE - val-IMA","fold1_CISUNet_DiceCE - val-IMA__MIN","fold1_CISUNet_DiceCE - val-IMA__MAX","fold1_CISUNet_DiceCE - val-l_CIA","fold1_CISUNet_DiceCE - val-l_CIA__MIN","fold1_CISUNet_DiceCE - val-l_CIA__MAX","fold1_CISUNet_DiceCE - val-l_EIA","fold1_CISUNet_DiceCE - val-l_EIA__MIN","fold1_CISUNet_DiceCE - val-l_EIA__MAX","fold1_CISUNet_DiceCE - val-l_IIA","fold1_CISUNet_DiceCE - val-l_IIA__MIN","fold1_CISUNet_DiceCE - val-l_IIA__MAX","fold1_CISUNet_DiceCE - val-r_CIA","fold1_CISUNet_DiceCE - val-r_CIA__MIN","fold1_CISUNet_DiceCE - val-r_CIA__MAX","fold1_CISUNet_DiceCE - val-r_EIA","fold1_CISUNet_DiceCE - val-r_EIA__MIN","fold1_CISUNet_DiceCE - val-r_EIA__MAX","fold1_CISUNet_DiceCE - val-r_IIA","fold1_CISUNet_DiceCE - val-r_IIA__MIN","fold1_CISUNet_DiceCE - val-r_IIA__MAX"
"1","0.3057684898376465","0.3057684898376465","0.3057684898376465","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.38215377926826477","0.38215377926826477","0.38215377926826477","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.31195658445358276","0.31195658445358276","0.31195658445358276","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.31707853078842163","0.31707853078842163","0.31707853078842163","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0.45634204149246216","0.45634204149246216","0.45634204149246216","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.5447474718093872","0.5447474718093872","0.5447474718093872","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3248789310455322","0.3248789310455322","0.3248789310455322","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.46028172969818115","0.46028172969818115","0.46028172969818115","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.31925687193870544","0.31925687193870544","0.31925687193870544","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0.5291408896446228","0.5291408896446228","0.5291408896446228","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.1579178273677826","0.1579178273677826","0.1579178273677826","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.00007880093471612781","0.00007880093471612781","0.00007880093471612781","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.1816028654575348","0.1816028654575348","0.1816028654575348","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.00032181834103539586","0.00032181834103539586","0.00032181834103539586","0","0","0","0","0","0","0.0011209227377548814","0.0011209227377548814","0.0011209227377548814","0","0","0","0","0","0","0.6128736138343811","0.6128736138343811","0.6128736138343811","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.04766954481601715","0.04766954481601715","0.04766954481601715","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.062331851571798325","0.062331851571798325","0.062331851571798325","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02521037869155407","0.02521037869155407","0.02521037869155407","0.44577768445014954","0.44577768445014954","0.44577768445014954","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.19538697600364685","0.19538697600364685","0.19538697600364685","0.0004923482774756849","0.0004923482774756849","0.0004923482774756849","0","0","0","0.0027818847447633743","0.0027818847447633743","0.0027818847447633743","0","0","0","0","0","0","0.5510473847389221","0.5510473847389221","0.5510473847389221","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.07737423479557037","0.07737423479557037","0.07737423479557037","0","0","0","0","0","0","0.0689905509352684","0.0689905509352684","0.0689905509352684","0","0","0","0","0","0"
"4","0.593570351600647","0.593570351600647","0.593570351600647","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.1117127537727356","0.1117127537727356","0.1117127537727356","0.002838961547240615","0.002838961547240615","0.002838961547240615","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05123129487037659","0.05123129487037659","0.05123129487037659","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6116307973861694","0.6116307973861694","0.6116307973861694","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.1246839240193367","0.1246839240193367","0.1246839240193367","0","0","0","0","0","0","0.2191183865070343","0.2191183865070343","0.2191183865070343","0.00012763269478455186","0.00012763269478455186","0.00012763269478455186","0","0","0","0.4887344241142273","0.4887344241142273","0.4887344241142273","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.2151077389717102","0.2151077389717102","0.2151077389717102","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.12280009686946869","0.12280009686946869","0.12280009686946869","0.13800720870494843","0.13800720870494843","0.13800720870494843","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.4701075255870819","0.4701075255870819","0.4701075255870819","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.3834715187549591","0.3834715187549591","0.3834715187549591","0.2486657351255417","0.2486657351255417","0.2486657351255417","0","0","0","0.20252357423305511","0.20252357423305511","0.20252357423305511","0.0010129744186997414","0.0010129744186997414","0.0010129744186997414","0","0","0","0.6269095540046692","0.6269095540046692","0.6269095540046692","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.2226094752550125","0.2226094752550125","0.2226094752550125","0","0","0","0","0","0","0.18511787056922913","0.18511787056922913","0.18511787056922913","0.0001512666785856709","0.0001512666785856709","0.0001512666785856709","0","0","0"
"5","0.764200747013092","0.764200747013092","0.764200747013092","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.3303615152835846","0.3303615152835846","0.3303615152835846","0.014255793765187263","0.014255793765187263","0.014255793765187263","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.0992133840918541","0.0992133840918541","0.0992133840918541","0.17782172560691833","0.17782172560691833","0.17782172560691833","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6906242966651917","0.6906242966651917","0.6906242966651917","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.3950969874858856","0.3950969874858856","0.3950969874858856","0.01945503056049347","0.01945503056049347","0.01945503056049347","0","0","0","0.26123183965682983","0.26123183965682983","0.26123183965682983","0.1292349249124527","0.1292349249124527","0.1292349249124527","0","0","0","0.7040955424308777","0.7040955424308777","0.7040955424308777","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.19131551682949066","0.19131551682949066","0.19131551682949066","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.11216798424720764","0.11216798424720764","0.11216798424720764","0.1827436089515686","0.1827436089515686","0.1827436089515686","0","0","0","0.7479660511016846","0.7479660511016846","0.7479660511016846","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.4568238854408264","0.4568238854408264","0.4568238854408264","0.3388141393661499","0.3388141393661499","0.3388141393661499","0.000037045887438580394","0.000037045887438580394","0.000037045887438580394","0.35905957221984863","0.35905957221984863","0.35905957221984863","0.18435360491275787","0.18435360491275787","0.18435360491275787","0","0","0","0.7666497826576233","0.7666497826576233","0.7666497826576233","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.4615252912044525","0.4615252912044525","0.4615252912044525","0.004271060694009066","0.004271060694009066","0.004271060694009066","0","0","0","0.32908177375793457","0.32908177375793457","0.32908177375793457","0.2102726548910141","0.2102726548910141","0.2102726548910141","0","0","0"
"6","0.7725633978843689","0.7725633978843689","0.7725633978843689","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.5254377126693726","0.5254377126693726","0.5254377126693726","0.07548480480909348","0.07548480480909348","0.07548480480909348","0.0006856833351776004","0.0006856833351776004","0.0006856833351776004","0.49417293071746826","0.49417293071746826","0.49417293071746826","0.21128231287002563","0.21128231287002563","0.21128231287002563","0.004427485633641481","0.004427485633641481","0.004427485633641481","0.562846839427948","0.562846839427948","0.562846839427948","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.4375588595867157","0.4375588595867157","0.4375588595867157","0.3282090127468109","0.3282090127468109","0.3282090127468109","0.0004692429502028972","0.0004692429502028972","0.0004692429502028972","0.35272738337516785","0.35272738337516785","0.35272738337516785","0.28492704033851624","0.28492704033851624","0.28492704033851624","0","0","0","0.7888491153717041","0.7888491153717041","0.7888491153717041","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.4400842487812042","0.4400842487812042","0.4400842487812042","0.2855420708656311","0.2855420708656311","0.2855420708656311","0.012818552553653717","0.012818552553653717","0.012818552553653717","0.5418875217437744","0.5418875217437744","0.5418875217437744","0.3455647826194763","0.3455647826194763","0.3455647826194763","0.02614693157374859","0.02614693157374859","0.02614693157374859","0.6763678789138794","0.6763678789138794","0.6763678789138794","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.52458655834198","0.52458655834198","0.52458655834198","0.35892248153686523","0.35892248153686523","0.35892248153686523","0","0","0","0.3260340988636017","0.3260340988636017","0.3260340988636017","0.3256053328514099","0.3256053328514099","0.3256053328514099","0.00010350851516705006","0.00010350851516705006","0.00010350851516705006","0.77382493019104","0.77382493019104","0.77382493019104","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.42293089628219604","0.42293089628219604","0.42293089628219604","0.2809908390045166","0.2809908390045166","0.2809908390045166","0","0","0","0.3576267659664154","0.3576267659664154","0.3576267659664154","0.1275116205215454","0.1275116205215454","0.1275116205215454","0.00039315782487392426","0.00039315782487392426","0.00039315782487392426"
"7","0.7451311349868774","0.7451311349868774","0.7451311349868774","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.5657565593719482","0.5657565593719482","0.5657565593719482","0.3695663809776306","0.3695663809776306","0.3695663809776306","0.024001074954867363","0.024001074954867363","0.024001074954867363","0.4241895377635956","0.4241895377635956","0.4241895377635956","0.16827423870563507","0.16827423870563507","0.16827423870563507","0.13169796764850616","0.13169796764850616","0.13169796764850616","0.811581552028656","0.811581552028656","0.811581552028656","0.05612879991531372","0.05612879991531372","0.05612879991531372","0.4824569821357727","0.4824569821357727","0.4824569821357727","0.38000088930130005","0.38000088930130005","0.38000088930130005","0.052765414118766785","0.052765414118766785","0.052765414118766785","0.5096625089645386","0.5096625089645386","0.5096625089645386","0.28877273201942444","0.28877273201942444","0.28877273201942444","0.15084174275398254","0.15084174275398254","0.15084174275398254","0.8064996004104614","0.8064996004104614","0.8064996004104614","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.3688173294067383","0.3688173294067383","0.3688173294067383","0.4573759138584137","0.4573759138584137","0.4573759138584137","0.05972269922494888","0.05972269922494888","0.05972269922494888","0.4475884437561035","0.4475884437561035","0.4475884437561035","0.5121371150016785","0.5121371150016785","0.5121371150016785","0.034083545207977295","0.034083545207977295","0.034083545207977295","0.799607515335083","0.799607515335083","0.799607515335083","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.6042276620864868","0.6042276620864868","0.6042276620864868","0.4074546694755554","0.4074546694755554","0.4074546694755554","0.09540341794490814","0.09540341794490814","0.09540341794490814","0.5271609425544739","0.5271609425544739","0.5271609425544739","0.47371014952659607","0.47371014952659607","0.47371014952659607","0.041282325983047485","0.041282325983047485","0.041282325983047485","0.7785656452178955","0.7785656452178955","0.7785656452178955","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.40807804465293884","0.40807804465293884","0.40807804465293884","0.3307841718196869","0.3307841718196869","0.3307841718196869","0.016971362754702568","0.016971362754702568","0.016971362754702568","0.4651637673377991","0.4651637673377991","0.4651637673377991","0.3775186240673065","0.3775186240673065","0.3775186240673065","0.056411635130643845","0.056411635130643845","0.056411635130643845"
"8","0.7896659970283508","0.7896659970283508","0.7896659970283508","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.5772515535354614","0.5772515535354614","0.5772515535354614","0.2743266820907593","0.2743266820907593","0.2743266820907593","0.18049994111061096","0.18049994111061096","0.18049994111061096","0.4964180588722229","0.4964180588722229","0.4964180588722229","0.3112773299217224","0.3112773299217224","0.3112773299217224","0.2902836203575134","0.2902836203575134","0.2902836203575134","0.7323342561721802","0.7323342561721802","0.7323342561721802","0.19111068546772003","0.19111068546772003","0.19111068546772003","0.5627824068069458","0.5627824068069458","0.5627824068069458","0.4680304527282715","0.4680304527282715","0.4680304527282715","0.09472642838954926","0.09472642838954926","0.09472642838954926","0.5598806142807007","0.5598806142807007","0.5598806142807007","0.4098305404186249","0.4098305404186249","0.4098305404186249","0.2758426070213318","0.2758426070213318","0.2758426070213318","0.8291863203048706","0.8291863203048706","0.8291863203048706","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.4799198806285858","0.4799198806285858","0.4799198806285858","0.42667171359062195","0.42667171359062195","0.42667171359062195","0.09844799339771271","0.09844799339771271","0.09844799339771271","0.39673465490341187","0.39673465490341187","0.39673465490341187","0.4475425183773041","0.4475425183773041","0.4475425183773041","0.21697331964969635","0.21697331964969635","0.21697331964969635","0.7306645512580872","0.7306645512580872","0.7306645512580872","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.5597918033599854","0.5597918033599854","0.5597918033599854","0.4263151288032532","0.4263151288032532","0.4263151288032532","0.17587196826934814","0.17587196826934814","0.17587196826934814","0.5115468502044678","0.5115468502044678","0.5115468502044678","0.5184906125068665","0.5184906125068665","0.5184906125068665","0.22149010002613068","0.22149010002613068","0.22149010002613068","0.81902015209198","0.81902015209198","0.81902015209198","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6147000789642334","0.6147000789642334","0.6147000789642334","0.41002386808395386","0.41002386808395386","0.41002386808395386","0.10036975145339966","0.10036975145339966","0.10036975145339966","0.4734722673892975","0.4734722673892975","0.4734722673892975","0.332332968711853","0.332332968711853","0.332332968711853","0.1843767613172531","0.1843767613172531","0.1843767613172531"
"9","0.7199252843856812","0.7199252843856812","0.7199252843856812","0.19757723808288574","0.19757723808288574","0.19757723808288574","0.6156783103942871","0.6156783103942871","0.6156783103942871","0.35203033685684204","0.35203033685684204","0.35203033685684204","0.24054844677448273","0.24054844677448273","0.24054844677448273","0.5782319903373718","0.5782319903373718","0.5782319903373718","0.5018861293792725","0.5018861293792725","0.5018861293792725","0.3947240114212036","0.3947240114212036","0.3947240114212036","0.8032615780830383","0.8032615780830383","0.8032615780830383","0.23563510179519653","0.23563510179519653","0.23563510179519653","0.615575909614563","0.615575909614563","0.615575909614563","0.41145870089530945","0.41145870089530945","0.41145870089530945","0.19354993104934692","0.19354993104934692","0.19354993104934692","0.5849377512931824","0.5849377512931824","0.5849377512931824","0.3671553432941437","0.3671553432941437","0.3671553432941437","0.3131592869758606","0.3131592869758606","0.3131592869758606","0.7011698484420776","0.7011698484420776","0.7011698484420776","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.593097448348999","0.593097448348999","0.593097448348999","0.5350131988525391","0.5350131988525391","0.5350131988525391","0.17160193622112274","0.17160193622112274","0.17160193622112274","0.6034305095672607","0.6034305095672607","0.6034305095672607","0.5253903269767761","0.5253903269767761","0.5253903269767761","0.4306802451610565","0.4306802451610565","0.4306802451610565","0.8459304571151733","0.8459304571151733","0.8459304571151733","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.6296789646148682","0.6296789646148682","0.6296789646148682","0.49791163206100464","0.49791163206100464","0.49791163206100464","0.4095556139945984","0.4095556139945984","0.4095556139945984","0.5573523044586182","0.5573523044586182","0.5573523044586182","0.5492640733718872","0.5492640733718872","0.5492640733718872","0.4229857623577118","0.4229857623577118","0.4229857623577118","0.8402859568595886","0.8402859568595886","0.8402859568595886","0.255387544631958","0.255387544631958","0.255387544631958","0.6086902022361755","0.6086902022361755","0.6086902022361755","0.5505223274230957","0.5505223274230957","0.5505223274230957","0.11275534331798553","0.11275534331798553","0.11275534331798553","0.5664447546005249","0.5664447546005249","0.5664447546005249","0.5412569642066956","0.5412569642066956","0.5412569642066956","0.3278768062591553","0.3278768062591553","0.3278768062591553"
"10","0.8094596862792969","0.8094596862792969","0.8094596862792969","0.1616019904613495","0.1616019904613495","0.1616019904613495","0.6240040063858032","0.6240040063858032","0.6240040063858032","0.43225544691085815","0.43225544691085815","0.43225544691085815","0.373635470867157","0.373635470867157","0.373635470867157","0.622220516204834","0.622220516204834","0.622220516204834","0.444212943315506","0.444212943315506","0.444212943315506","0.5163723826408386","0.5163723826408386","0.5163723826408386","0.8184192776679993","0.8184192776679993","0.8184192776679993","0.2801658511161804","0.2801658511161804","0.2801658511161804","0.6007357835769653","0.6007357835769653","0.6007357835769653","0.41407522559165955","0.41407522559165955","0.41407522559165955","0.28002798557281494","0.28002798557281494","0.28002798557281494","0.6285392045974731","0.6285392045974731","0.6285392045974731","0.44368332624435425","0.44368332624435425","0.44368332624435425","0.3786986768245697","0.3786986768245697","0.3786986768245697","0.6374768018722534","0.6374768018722534","0.6374768018722534","0.14203302562236786","0.14203302562236786","0.14203302562236786","0.3717406094074249","0.3717406094074249","0.3717406094074249","0.5861291885375977","0.5861291885375977","0.5861291885375977","0.25706034898757935","0.25706034898757935","0.25706034898757935","0.47838521003723145","0.47838521003723145","0.47838521003723145","0.48295143246650696","0.48295143246650696","0.48295143246650696","0.3989400863647461","0.3989400863647461","0.3989400863647461","0.8449262380599976","0.8449262380599976","0.8449262380599976","0.06820767372846603","0.06820767372846603","0.06820767372846603","0.6492092609405518","0.6492092609405518","0.6492092609405518","0.6365665197372437","0.6365665197372437","0.6365665197372437","0.4653457999229431","0.4653457999229431","0.4653457999229431","0.6975972652435303","0.6975972652435303","0.6975972652435303","0.6351809501647949","0.6351809501647949","0.6351809501647949","0.5092370510101318","0.5092370510101318","0.5092370510101318","0.8448289632797241","0.8448289632797241","0.8448289632797241","0.3009047508239746","0.3009047508239746","0.3009047508239746","0.6353905200958252","0.6353905200958252","0.6353905200958252","0.5404296517372131","0.5404296517372131","0.5404296517372131","0.2679499387741089","0.2679499387741089","0.2679499387741089","0.6527846455574036","0.6527846455574036","0.6527846455574036","0.508968710899353","0.508968710899353","0.508968710899353","0.47402235865592957","0.47402235865592957","0.47402235865592957"
