"Step","fold2_CISUNet_DiceCE - val-IVC","fold2_CISUNet_DiceCE - val-IVC__MIN","fold2_CISUNet_DiceCE - val-IVC__MAX","fold2_CISUNet_DiceCE - val-l_CIV","fold2_CISUNet_DiceCE - val-l_CIV__MIN","fold2_CISUNet_DiceCE - val-l_CIV__MAX","fold2_CISUNet_DiceCE - val-l_EIV","fold2_CISUNet_DiceCE - val-l_EIV__MIN","fold2_CISUNet_DiceCE - val-l_EIV__MAX","fold2_CISUNet_DiceCE - val-l_IIV","fold2_CISUNet_DiceCE - val-l_IIV__MIN","fold2_CISUNet_DiceCE - val-l_IIV__MAX","fold2_CISUNet_DiceCE - val-r_CIV","fold2_CISUNet_DiceCE - val-r_CIV__MIN","fold2_CISUNet_DiceCE - val-r_CIV__MAX","fold2_CISUNet_DiceCE - val-r_EIV","fold2_CISUNet_DiceCE - val-r_EIV__MIN","fold2_CISUNet_DiceCE - val-r_EIV__MAX","fold2_CISUNet_DiceCE - val-r_IIV","fold2_CISUNet_DiceCE - val-r_IIV__MIN","fold2_CISUNet_DiceCE - val-r_IIV__MAX","fold5_CISUNet_DiceCE - val-IVC","fold5_CISUNet_DiceCE - val-IVC__MIN","fold5_CISUNet_DiceCE - val-IVC__MAX","fold5_CISUNet_DiceCE - val-l_CIV","fold5_CISUNet_DiceCE - val-l_CIV__MIN","fold5_CISUNet_DiceCE - val-l_CIV__MAX","fold5_CISUNet_DiceCE - val-l_EIV","fold5_CISUNet_DiceCE - val-l_EIV__MIN","fold5_CISUNet_DiceCE - val-l_EIV__MAX","fold5_CISUNet_DiceCE - val-l_IIV","fold5_CISUNet_DiceCE - val-l_IIV__MIN","fold5_CISUNet_DiceCE - val-l_IIV__MAX","fold5_CISUNet_DiceCE - val-r_CIV","fold5_CISUNet_DiceCE - val-r_CIV__MIN","fold5_CISUNet_DiceCE - val-r_CIV__MAX","fold5_CISUNet_DiceCE - val-r_EIV","fold5_CISUNet_DiceCE - val-r_EIV__MIN","fold5_CISUNet_DiceCE - val-r_EIV__MAX","fold5_CISUNet_DiceCE - val-r_IIV","fold5_CISUNet_DiceCE - val-r_IIV__MIN","fold5_CISUNet_DiceCE - val-r_IIV__MAX","fold3_CISUNet_DiceCE - val-IVC","fold3_CISUNet_DiceCE - val-IVC__MIN","fold3_CISUNet_DiceCE - val-IVC__MAX","fold3_CISUNet_DiceCE - val-l_CIV","fold3_CISUNet_DiceCE - val-l_CIV__MIN","fold3_CISUNet_DiceCE - val-l_CIV__MAX","fold3_CISUNet_DiceCE - val-l_EIV","fold3_CISUNet_DiceCE - val-l_EIV__MIN","fold3_CISUNet_DiceCE - val-l_EIV__MAX","fold3_CISUNet_DiceCE - val-l_IIV","fold3_CISUNet_DiceCE - val-l_IIV__MIN","fold3_CISUNet_DiceCE - val-l_IIV__MAX","fold3_CISUNet_DiceCE - val-r_CIV","fold3_CISUNet_DiceCE - val-r_CIV__MIN","fold3_CISUNet_DiceCE - val-r_CIV__MAX","fold3_CISUNet_DiceCE - val-r_EIV","fold3_CISUNet_DiceCE - val-r_EIV__MIN","fold3_CISUNet_DiceCE - val-r_EIV__MAX","fold3_CISUNet_DiceCE - val-r_IIV","fold3_CISUNet_DiceCE - val-r_IIV__MIN","fold3_CISUNet_DiceCE - val-r_IIV__MAX","fold4_CISUNet_DiceCE - val-IVC","fold4_CISUNet_DiceCE - val-IVC__MIN","fold4_CISUNet_DiceCE - val-IVC__MAX","fold4_CISUNet_DiceCE - val-l_CIV","fold4_CISUNet_DiceCE - val-l_CIV__MIN","fold4_CISUNet_DiceCE - val-l_CIV__MAX","fold4_CISUNet_DiceCE - val-l_EIV","fold4_CISUNet_DiceCE - val-l_EIV__MIN","fold4_CISUNet_DiceCE - val-l_EIV__MAX","fold4_CISUNet_DiceCE - val-l_IIV","fold4_CISUNet_DiceCE - val-l_IIV__MIN","fold4_CISUNet_DiceCE - val-l_IIV__MAX","fold4_CISUNet_DiceCE - val-r_CIV","fold4_CISUNet_DiceCE - val-r_CIV__MIN","fold4_CISUNet_DiceCE - val-r_CIV__MAX","fold4_CISUNet_DiceCE - val-r_EIV","fold4_CISUNet_DiceCE - val-r_EIV__MIN","fold4_CISUNet_DiceCE - val-r_EIV__MAX","fold4_CISUNet_DiceCE - val-r_IIV","fold4_CISUNet_DiceCE - val-r_IIV__MIN","fold4_CISUNet_DiceCE - val-r_IIV__MAX","fold1_CISUNet_DiceCE - val-IVC","fold1_CISUNet_DiceCE - val-IVC__MIN","fold1_CISUNet_DiceCE - val-IVC__MAX","fold1_CISUNet_DiceCE - val-l_CIV","fold1_CISUNet_DiceCE - val-l_CIV__MIN","fold1_CISUNet_DiceCE - val-l_CIV__MAX","fold1_CISUNet_DiceCE - val-l_EIV","fold1_CISUNet_DiceCE - val-l_EIV__MIN","fold1_CISUNet_DiceCE - val-l_EIV__MAX","fold1_CISUNet_DiceCE - val-l_IIV","fold1_CISUNet_DiceCE - val-l_IIV__MIN","fold1_CISUNet_DiceCE - val-l_IIV__MAX","fold1_CISUNet_DiceCE - val-r_CIV","fold1_CISUNet_DiceCE - val-r_CIV__MIN","fold1_CISUNet_DiceCE - val-r_CIV__MAX","fold1_CISUNet_DiceCE - val-r_EIV","fold1_CISUNet_DiceCE - val-r_EIV__MIN","fold1_CISUNet_DiceCE - val-r_EIV__MAX","fold1_CISUNet_DiceCE - val-r_IIV","fold1_CISUNet_DiceCE - val-r_IIV__MIN","fold1_CISUNet_DiceCE - val-r_IIV__MAX"
"1","0.2501838207244873","0.2501838207244873","0.2501838207244873","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.20592424273490906","0.20592424273490906","0.20592424273490906","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0.14613918960094452","0.14613918960094452","0.14613918960094452","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"2","0.23801833391189575","0.23801833391189575","0.23801833391189575","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.2622087597846985","0.2622087597846985","0.2622087597846985","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0.31419360637664795","0.31419360637664795","0.31419360637664795","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.2933838665485382","0.2933838665485382","0.2933838665485382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.14432655274868011","0.14432655274868011","0.14432655274868011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"3","0.4608899652957916","0.4608899652957916","0.4608899652957916","0","0","0","0","0","0","0","0","0","0.00008096577948890626","0.00008096577948890626","0.00008096577948890626","0","0","0","0","0","0","0.5626585483551025","0.5626585483551025","0.5626585483551025","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.005023282021284103","0.005023282021284103","0.005023282021284103","0","0","0","0","0","0","0.34068748354911804","0.34068748354911804","0.34068748354911804","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.428874135017395","0.428874135017395","0.428874135017395","0","0","0","0","0","0","0","0","0","0.0003862854791805148","0.0003862854791805148","0.0003862854791805148","0","0","0","0","0","0","0.24659864604473114","0.24659864604473114","0.24659864604473114","0.000023044129193294793","0.000023044129193294793","0.000023044129193294793","0","0","0","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"4","0.6238434314727783","0.6238434314727783","0.6238434314727783","0.0005775900790467858","0.0005775900790467858","0.0005775900790467858","0","0","0","0","0","0","0.20496223866939545","0.20496223866939545","0.20496223866939545","0","0","0","0","0","0","0.3087922930717468","0.3087922930717468","0.3087922930717468","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.04199749603867531","0.04199749603867531","0.04199749603867531","0","0","0","0","0","0","0","0","0","0.00031968799885362387","0.00031968799885362387","0.00031968799885362387","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.0000400841781811323","0.0000400841781811323","0.0000400841781811323","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.3066476583480835","0.3066476583480835","0.3066476583480835","0.07249057292938232","0.07249057292938232","0.07249057292938232","0","0","0","0","0","0","0.3443809151649475","0.3443809151649475","0.3443809151649475","0","0","0","0","0","0","0.6908813118934631","0.6908813118934631","0.6908813118934631","0.2534184455871582","0.2534184455871582","0.2534184455871582","0","0","0","0","0","0","0.4241505265235901","0.4241505265235901","0.4241505265235901","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"5","0.44371408224105835","0.44371408224105835","0.44371408224105835","0.022079208865761757","0.022079208865761757","0.022079208865761757","0","0","0","0","0","0","0.17808139324188232","0.17808139324188232","0.17808139324188232","0","0","0","0","0","0","0.5715794563293457","0.5715794563293457","0.5715794563293457","0.14875292778015137","0.14875292778015137","0.14875292778015137","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.3488931357860565","0.3488931357860565","0.3488931357860565","0","0","0","0","0","0","0.492035448551178","0.492035448551178","0.492035448551178","0.19161170721054077","0.19161170721054077","0.19161170721054077","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.38096487522125244","0.38096487522125244","0.38096487522125244","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.5745126008987427","0.5745126008987427","0.5745126008987427","0.4401405453681946","0.4401405453681946","0.4401405453681946","0","0","0","0","0","0","0.47383153438568115","0.47383153438568115","0.47383153438568115","0","0","0","0","0","0","0.6788761019706726","0.6788761019706726","0.6788761019706726","0.4295981526374817","0.4295981526374817","0.4295981526374817","0.008924854919314384","0.008924854919314384","0.008924854919314384","0","0","0","0.4805063009262085","0.4805063009262085","0.4805063009262085","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"6","0.028375230729579926","0.028375230729579926","0.028375230729579926","0.016859129071235657","0.016859129071235657","0.016859129071235657","0","0","0","0.05581384897232056","0.05581384897232056","0.05581384897232056","0.06098460406064987","0.06098460406064987","0.06098460406064987","0","0","0","0.0076862601563334465","0.0076862601563334465","0.0076862601563334465","0.580807626247406","0.580807626247406","0.580807626247406","0.3710981607437134","0.3710981607437134","0.3710981607437134","0.0000079573492257623","0.0000079573492257623","0.0000079573492257623","0.08365064114332199","0.08365064114332199","0.08365064114332199","0.46139514446258545","0.46139514446258545","0.46139514446258545","0.050647299736738205","0.050647299736738205","0.050647299736738205","0","0","0","0.6141802668571472","0.6141802668571472","0.6141802668571472","0.2882506549358368","0.2882506549358368","0.2882506549358368","0.046412937343120575","0.046412937343120575","0.046412937343120575","0.0012255460023880005","0.0012255460023880005","0.0012255460023880005","0.31690889596939087","0.31690889596939087","0.31690889596939087","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6841000318527222","0.6841000318527222","0.6841000318527222","0.4882603883743286","0.4882603883743286","0.4882603883743286","0.2008439600467682","0.2008439600467682","0.2008439600467682","0","0","0","0.5227176547050476","0.5227176547050476","0.5227176547050476","0","0","0","0","0","0","0.6591768860816956","0.6591768860816956","0.6591768860816956","0.41383132338523865","0.41383132338523865","0.41383132338523865","0.20908764004707336","0.20908764004707336","0.20908764004707336","0","0","0","0.48516836762428284","0.48516836762428284","0.48516836762428284","0.08541003614664078","0.08541003614664078","0.08541003614664078","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"7","0.5516486763954163","0.5516486763954163","0.5516486763954163","0.14127010107040405","0.14127010107040405","0.14127010107040405","0.12679994106292725","0.12679994106292725","0.12679994106292725","0.06381502747535706","0.06381502747535706","0.06381502747535706","0.17317558825016022","0.17317558825016022","0.17317558825016022","0.10321580618619919","0.10321580618619919","0.10321580618619919","0.05628761649131775","0.05628761649131775","0.05628761649131775","0.6111598014831543","0.6111598014831543","0.6111598014831543","0.5127332210540771","0.5127332210540771","0.5127332210540771","0.2780584394931793","0.2780584394931793","0.2780584394931793","0.3473978340625763","0.3473978340625763","0.3473978340625763","0.3129529356956482","0.3129529356956482","0.3129529356956482","0.3692590594291687","0.3692590594291687","0.3692590594291687","0","0","0","0.6835410594940186","0.6835410594940186","0.6835410594940186","0.540919840335846","0.540919840335846","0.540919840335846","0.3141987919807434","0.3141987919807434","0.3141987919807434","0.14656111598014832","0.14656111598014832","0.14656111598014832","0.5727589726448059","0.5727589726448059","0.5727589726448059","0.22797413170337677","0.22797413170337677","0.22797413170337677","0.050020236521959305","0.050020236521959305","0.050020236521959305","0.6267488598823547","0.6267488598823547","0.6267488598823547","0.25950348377227783","0.25950348377227783","0.25950348377227783","0.23556223511695862","0.23556223511695862","0.23556223511695862","0.09772337228059769","0.09772337228059769","0.09772337228059769","0.37409543991088867","0.37409543991088867","0.37409543991088867","0.0014246071223169565","0.0014246071223169565","0.0014246071223169565","0","0","0","0.5362017154693604","0.5362017154693604","0.5362017154693604","0.36267900466918945","0.36267900466918945","0.36267900466918945","0.4209744930267334","0.4209744930267334","0.4209744930267334","0.0332549586892128","0.0332549586892128","0.0332549586892128","0.5776290893554688","0.5776290893554688","0.5776290893554688","0.31181538105010986","0.31181538105010986","0.31181538105010986","0.035994406789541245","0.035994406789541245","0.035994406789541245"
"8","0.5183811187744141","0.5183811187744141","0.5183811187744141","0.4910239577293396","0.4910239577293396","0.4910239577293396","0.25626811385154724","0.25626811385154724","0.25626811385154724","0.3594703674316406","0.3594703674316406","0.3594703674316406","0.5694446563720703","0.5694446563720703","0.5694446563720703","0.22747012972831726","0.22747012972831726","0.22747012972831726","0.24625109136104584","0.24625109136104584","0.24625109136104584","0.6583362817764282","0.6583362817764282","0.6583362817764282","0.6697829365730286","0.6697829365730286","0.6697829365730286","0.4811171889305115","0.4811171889305115","0.4811171889305115","0.31590908765792847","0.31590908765792847","0.31590908765792847","0.6409908533096313","0.6409908533096313","0.6409908533096313","0.4886462688446045","0.4886462688446045","0.4886462688446045","0","0","0","0.6977722644805908","0.6977722644805908","0.6977722644805908","0.5681099891662598","0.5681099891662598","0.5681099891662598","0.2962263226509094","0.2962263226509094","0.2962263226509094","0.26668086647987366","0.26668086647987366","0.26668086647987366","0.5265200734138489","0.5265200734138489","0.5265200734138489","0.2902384102344513","0.2902384102344513","0.2902384102344513","0.062372297048568726","0.062372297048568726","0.062372297048568726","0.6597077250480652","0.6597077250480652","0.6597077250480652","0.3401261270046234","0.3401261270046234","0.3401261270046234","0.22392134368419647","0.22392134368419647","0.22392134368419647","0.1814197599887848","0.1814197599887848","0.1814197599887848","0.3783276379108429","0.3783276379108429","0.3783276379108429","0.19764457643032074","0.19764457643032074","0.19764457643032074","0.049965791404247284","0.049965791404247284","0.049965791404247284","0.7064976096153259","0.7064976096153259","0.7064976096153259","0.39641788601875305","0.39641788601875305","0.39641788601875305","0.4055873155593872","0.4055873155593872","0.4055873155593872","0.16445448994636536","0.16445448994636536","0.16445448994636536","0.5388725399971008","0.5388725399971008","0.5388725399971008","0.34873297810554504","0.34873297810554504","0.34873297810554504","0.25196373462677","0.25196373462677","0.25196373462677"
"9","0.6214514374732971","0.6214514374732971","0.6214514374732971","0.47538167238235474","0.47538167238235474","0.47538167238235474","0.4317096769809723","0.4317096769809723","0.4317096769809723","0.3664117753505707","0.3664117753505707","0.3664117753505707","0.48186784982681274","0.48186784982681274","0.48186784982681274","0.2592600882053375","0.2592600882053375","0.2592600882053375","0.24605673551559448","0.24605673551559448","0.24605673551559448","0.7501100301742554","0.7501100301742554","0.7501100301742554","0.6234579086303711","0.6234579086303711","0.6234579086303711","0.6388977766036987","0.6388977766036987","0.6388977766036987","0.35269856452941895","0.35269856452941895","0.35269856452941895","0.6596177816390991","0.6596177816390991","0.6596177816390991","0.6529324054718018","0.6529324054718018","0.6529324054718018","0.0011448332807049155","0.0011448332807049155","0.0011448332807049155","0.7224639654159546","0.7224639654159546","0.7224639654159546","0.6273529529571533","0.6273529529571533","0.6273529529571533","0.5406129956245422","0.5406129956245422","0.5406129956245422","0.34103795886039734","0.34103795886039734","0.34103795886039734","0.5401037335395813","0.5401037335395813","0.5401037335395813","0.4682920277118683","0.4682920277118683","0.4682920277118683","0.25557956099510193","0.25557956099510193","0.25557956099510193","0.41571152210235596","0.41571152210235596","0.41571152210235596","0.5494652986526489","0.5494652986526489","0.5494652986526489","0.4670448899269104","0.4670448899269104","0.4670448899269104","0.1391911655664444","0.1391911655664444","0.1391911655664444","0.5042572021484375","0.5042572021484375","0.5042572021484375","0.32581770420074463","0.32581770420074463","0.32581770420074463","0.13885140419006348","0.13885140419006348","0.13885140419006348","0.7023143768310547","0.7023143768310547","0.7023143768310547","0.5073670148849487","0.5073670148849487","0.5073670148849487","0.5110557675361633","0.5110557675361633","0.5110557675361633","0.31964239478111267","0.31964239478111267","0.31964239478111267","0.6083282232284546","0.6083282232284546","0.6083282232284546","0.27220025658607483","0.27220025658607483","0.27220025658607483","0.2653779089450836","0.2653779089450836","0.2653779089450836"
"10","0.7178724408149719","0.7178724408149719","0.7178724408149719","0.541894257068634","0.541894257068634","0.541894257068634","0.30134057998657227","0.30134057998657227","0.30134057998657227","0.36212512850761414","0.36212512850761414","0.36212512850761414","0.5594858527183533","0.5594858527183533","0.5594858527183533","0.3806838393211365","0.3806838393211365","0.3806838393211365","0.19276897609233856","0.19276897609233856","0.19276897609233856","0.7895543575286865","0.7895543575286865","0.7895543575286865","0.65317702293396","0.65317702293396","0.65317702293396","0.5770858526229858","0.5770858526229858","0.5770858526229858","0.4210871160030365","0.4210871160030365","0.4210871160030365","0.6932047605514526","0.6932047605514526","0.6932047605514526","0.6436566114425659","0.6436566114425659","0.6436566114425659","0.32079198956489563","0.32079198956489563","0.32079198956489563","0.7134970426559448","0.7134970426559448","0.7134970426559448","0.6268807649612427","0.6268807649612427","0.6268807649612427","0.5406109094619751","0.5406109094619751","0.5406109094619751","0.20916086435317993","0.20916086435317993","0.20916086435317993","0.6407425999641418","0.6407425999641418","0.6407425999641418","0.3348022699356079","0.3348022699356079","0.3348022699356079","0.30760589241981506","0.30760589241981506","0.30760589241981506","0.7128853797912598","0.7128853797912598","0.7128853797912598","0.2982428967952728","0.2982428967952728","0.2982428967952728","0.5600237250328064","0.5600237250328064","0.5600237250328064","0.39491456747055054","0.39491456747055054","0.39491456747055054","0.6350116729736328","0.6350116729736328","0.6350116729736328","0.5692335367202759","0.5692335367202759","0.5692335367202759","0.38678455352783203","0.38678455352783203","0.38678455352783203","0.6255815625190735","0.6255815625190735","0.6255815625190735","0.5097551941871643","0.5097551941871643","0.5097551941871643","0.5245867967605591","0.5245867967605591","0.5245867967605591","0.33083727955818176","0.33083727955818176","0.33083727955818176","0.5613192319869995","0.5613192319869995","0.5613192319869995","0.4931676387786865","0.4931676387786865","0.4931676387786865","0.26835206151008606","0.26835206151008606","0.26835206151008606"
