"Step","fold5_alpha0.4_beta0.6_gamma2 - val-Aorta","fold5_alpha0.4_beta0.6_gamma2 - val-Aorta__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-Aorta__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-IMA","fold5_alpha0.4_beta0.6_gamma2 - val-IMA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-IMA__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-l_CIA","fold5_alpha0.4_beta0.6_gamma2 - val-l_CIA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-l_CIA__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-l_EIA","fold5_alpha0.4_beta0.6_gamma2 - val-l_EIA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-l_EIA__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-l_IIA","fold5_alpha0.4_beta0.6_gamma2 - val-l_IIA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-l_IIA__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-r_CIA","fold5_alpha0.4_beta0.6_gamma2 - val-r_CIA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-r_CIA__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-r_EIA","fold5_alpha0.4_beta0.6_gamma2 - val-r_EIA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-r_EIA__MAX","fold5_alpha0.4_beta0.6_gamma2 - val-r_IIA","fold5_alpha0.4_beta0.6_gamma2 - val-r_IIA__MIN","fold5_alpha0.4_beta0.6_gamma2 - val-r_IIA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-Aorta","fold4_alpha0.4_beta0.6_gamma2 - val-Aorta__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-Aorta__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-IMA","fold4_alpha0.4_beta0.6_gamma2 - val-IMA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-IMA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-l_CIA","fold4_alpha0.4_beta0.6_gamma2 - val-l_CIA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-l_CIA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-l_EIA","fold4_alpha0.4_beta0.6_gamma2 - val-l_EIA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-l_EIA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-l_IIA","fold4_alpha0.4_beta0.6_gamma2 - val-l_IIA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-l_IIA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-r_CIA","fold4_alpha0.4_beta0.6_gamma2 - val-r_CIA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-r_CIA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-r_EIA","fold4_alpha0.4_beta0.6_gamma2 - val-r_EIA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-r_EIA__MAX","fold4_alpha0.4_beta0.6_gamma2 - val-r_IIA","fold4_alpha0.4_beta0.6_gamma2 - val-r_IIA__MIN","fold4_alpha0.4_beta0.6_gamma2 - val-r_IIA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-Aorta","fold3_alpha0.4_beta0.6_gamma2 - val-Aorta__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-Aorta__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-IMA","fold3_alpha0.4_beta0.6_gamma2 - val-IMA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-IMA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-l_CIA","fold3_alpha0.4_beta0.6_gamma2 - val-l_CIA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-l_CIA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-l_EIA","fold3_alpha0.4_beta0.6_gamma2 - val-l_EIA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-l_EIA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-l_IIA","fold3_alpha0.4_beta0.6_gamma2 - val-l_IIA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-l_IIA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-r_CIA","fold3_alpha0.4_beta0.6_gamma2 - val-r_CIA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-r_CIA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-r_EIA","fold3_alpha0.4_beta0.6_gamma2 - val-r_EIA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-r_EIA__MAX","fold3_alpha0.4_beta0.6_gamma2 - val-r_IIA","fold3_alpha0.4_beta0.6_gamma2 - val-r_IIA__MIN","fold3_alpha0.4_beta0.6_gamma2 - val-r_IIA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-Aorta","fold2_alpha0.4_beta0.6_gamma2 - val-Aorta__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-Aorta__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-IMA","fold2_alpha0.4_beta0.6_gamma2 - val-IMA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-IMA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-l_CIA","fold2_alpha0.4_beta0.6_gamma2 - val-l_CIA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-l_CIA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-l_EIA","fold2_alpha0.4_beta0.6_gamma2 - val-l_EIA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-l_EIA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-l_IIA","fold2_alpha0.4_beta0.6_gamma2 - val-l_IIA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-l_IIA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-r_CIA","fold2_alpha0.4_beta0.6_gamma2 - val-r_CIA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-r_CIA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-r_EIA","fold2_alpha0.4_beta0.6_gamma2 - val-r_EIA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-r_EIA__MAX","fold2_alpha0.4_beta0.6_gamma2 - val-r_IIA","fold2_alpha0.4_beta0.6_gamma2 - val-r_IIA__MIN","fold2_alpha0.4_beta0.6_gamma2 - val-r_IIA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-Aorta","fold1_alpha0.4_beta0.6_gamma2 - val-Aorta__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-Aorta__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-IMA","fold1_alpha0.4_beta0.6_gamma2 - val-IMA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-IMA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-l_CIA","fold1_alpha0.4_beta0.6_gamma2 - val-l_CIA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-l_CIA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-l_EIA","fold1_alpha0.4_beta0.6_gamma2 - val-l_EIA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-l_EIA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-l_IIA","fold1_alpha0.4_beta0.6_gamma2 - val-l_IIA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-l_IIA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-r_CIA","fold1_alpha0.4_beta0.6_gamma2 - val-r_CIA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-r_CIA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-r_EIA","fold1_alpha0.4_beta0.6_gamma2 - val-r_EIA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-r_EIA__MAX","fold1_alpha0.4_beta0.6_gamma2 - val-r_IIA","fold1_alpha0.4_beta0.6_gamma2 - val-r_IIA__MIN","fold1_alpha0.4_beta0.6_gamma2 - val-r_IIA__MAX"
"1","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.00032592599745839834","0.00032592599745839834","0.00032592599745839834","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0.2423378974199295","0.2423378974199295","0.2423378974199295","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.433043897151947","0.433043897151947","0.433043897151947","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.010551401413977146","0.010551401413977146","0.010551401413977146","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.15419022738933563","0.15419022738933563","0.15419022738933563","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13776634633541107","0.13776634633541107","0.13776634633541107","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","0.09296838939189911","0.09296838939189911","0.09296838939189911","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.5461987853050232","0.5461987853050232","0.5461987853050232","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.18197908997535706","0.18197908997535706","0.18197908997535706","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.29289358854293823","0.29289358854293823","0.29289358854293823","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0.4367975890636444","0.4367975890636444","0.4367975890636444","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6447852253913879","0.6447852253913879","0.6447852253913879","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2365250587463379","0.2365250587463379","0.2365250587463379","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.5382378101348877","0.5382378101348877","0.5382378101348877","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02062518149614334","0.02062518149614334","0.02062518149614334","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0.48901650309562683","0.48901650309562683","0.48901650309562683","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6528037190437317","0.6528037190437317","0.6528037190437317","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.47673502564430237","0.47673502564430237","0.47673502564430237","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.6697481870651245","0.6697481870651245","0.6697481870651245","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2710598111152649","0.2710598111152649","0.2710598111152649","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0.5610445141792297","0.5610445141792297","0.5610445141792297","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6302406787872314","0.6302406787872314","0.6302406787872314","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6150939464569092","0.6150939464569092","0.6150939464569092","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.6353471279144287","0.6353471279144287","0.6353471279144287","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3477638363838196","0.3477638363838196","0.3477638363838196","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0.21975232660770416","0.21975232660770416","0.21975232660770416","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.6619582772254944","0.6619582772254944","0.6619582772254944","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5354212522506714","0.5354212522506714","0.5354212522506714","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.6596741080284119","0.6596741080284119","0.6596741080284119","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4661863446235657","0.4661863446235657","0.4661863446235657","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0.7070496678352356","0.7070496678352356","0.7070496678352356","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.8008844256401062","0.8008844256401062","0.8008844256401062","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6820660829544067","0.6820660829544067","0.6820660829544067","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.6551761031150818","0.6551761031150818","0.6551761031150818","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4821575880050659","0.4821575880050659","0.4821575880050659","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0.724985659122467","0.724985659122467","0.724985659122467","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0","0","0","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.79469233751297","0.79469233751297","0.79469233751297","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.06776885688304901","0.06776885688304901","0.06776885688304901","0","0","0","0","0","0","0","0","0","0.003625142388045788","0.003625142388045788","0.003625142388045788","0","0","0","0.5645820498466492","0.5645820498466492","0.5645820498466492","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.4335057735443115","0.4335057735443115","0.4335057735443115","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.437197208404541","0.437197208404541","0.437197208404541","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0.7581605911254883","0.7581605911254883","0.7581605911254883","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.006950857117772102","0.006950857117772102","0.006950857117772102","0","0","0","0.02500000037252903","0.02500000037252903","0.02500000037252903","0","0","0","0.000007977026143635157","0.000007977026143635157","0.000007977026143635157","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.7486093044281006","0.7486093044281006","0.7486093044281006","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.07452406734228134","0.07452406734228134","0.07452406734228134","0","0","0","0","0","0","0.0026402543298900127","0.0026402543298900127","0.0026402543298900127","0.13130924105644226","0.13130924105644226","0.13130924105644226","0","0","0","0.7607161998748779","0.7607161998748779","0.7607161998748779","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.049228914082050323","0.049228914082050323","0.049228914082050323","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.02500000037252903","0.7179408073425293","0.7179408073425293","0.7179408073425293","0.07500000298023224","0.07500000298023224","0.07500000298023224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5529862642288208","0.5529862642288208","0.5529862642288208","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.0000357717763108667","0.0000357717763108667","0.0000357717763108667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
